CustomerID,CustomerName,Location,PhoneNumber,Email
RH-19495,Rick Hansen,"12772 Stephens Mews Suite 920, Lake Frederick, MN 09653",-338383957,brian_thomas@example.com
JR-16210,Justin Ritter,"728 Thompson Neck Apt. 024, Andrewfort, ME 61426",-791685252,andrew_cook@example.com
CR-12730,Craig Reiter,"797 Reynolds Mission, Salinasview, WA 31267",-784806554,robert_bennett@example.com
KM-16375,Katherine Murray,"369 Kimberly Gateway, East Stevenbury, CO 99832",-709318139,jose_jenkins@example.com
RH-9495,Rick Hansen,"23580 Joseph Villages, Bridgesside, OK 37908",-538585271,james_hoover@example.com
JM-15655,Jim Mitchum,"87020 Nicholson Via, Mccallview, VA 27077",-653135515,steve_vazquez@example.com
TS-21340,Toby Swindell,"8576 Spencer Forges Suite 281, Jacobtown, GU 16437",-844749028,michelle_hickman@example.com
MB-18085,Mick Brown,"18224 Jessica Avenue, West Josephbury, VI 26425",-382143771,julia_brown@example.com
JW-15220,Jane Waco,"470 Robbins Estates Suite 413, South Matthew, AR 53368",-860188331,gabrielle_coleman@example.com
JH-15985,Joseph Holt,"408 Mendoza Meadows Apt. 311, West Gary, NC 33737",-974705657,kimberly_ellis@example.com
GM-14695,Greg Maxwell,"27149 Mcdaniel Pine, Lisamouth, LA 49983",-280031910,hannah_collins@example.com
AJ-10780,Anthony Jacobs,"784 Thomas Motorway, North Williamland, AK 13189",-112135966,chloe_travis@example.com
MM-7260,Magdelene Morse,"82418 Michaela Trace, New Bettyfort, MS 30944",-492292446,reginald_snow@example.com
VF-21715,Vicky Freymann,"8734 Sawyer Valley Apt. 021, Boothville, HI 16249",-278449452,regina_davis@example.com
PF-19120,Peter Fuller,"07443 Donald Cliffs Apt. 147, West Natalie, LA 81646",-278063469,jessica_russell@example.com
BP-11185,Ben Peterman,"45008 Warren Plaza, South Chrisburgh, MO 44757",-959442322,pamela_meyer@example.com
TB-21175,Thomas Boland,"13244 Dillon Trafficway Apt. 063, West Joshuaburgh, VI 59100",-247121497,donald_romero@example.com
PJ-18835,Patrick Jones,"USS Howard, FPO AA 96261",-869594516,priscilla_green@example.com
JS-15685,Jim Sink,"6411 Rangel River Apt. 483, Port Phillip, OR 05777",-633298980,angel_higgins@example.com
RH-9555,Ritsa Hightower,"6652 Shannon Pine Suite 749, Annside, VT 62782",-862478472,craig_martin@example.com
AB-600,Ann Blume,"12842 Jeremy Way Suite 596, South Jasonland, RI 32106",-789516061,gregory_strong@example.com
SA-20830,Sue Ann Reed,"851 Hannah Hills Suite 504, Tracyshire, IL 19160",-548699308,joseph_scott@example.com
JK-15325,Jason Klamczynski,"03322 James Roads, Port Michaelbury, NM 82597",-423569816,katherine_flores@example.com
LB-16795,Laurel Beltran,"889 Brewer Green, Zimmermanside, WI 60671",-390933701,adam_hall@example.com
NP-18325,Naresj Patel,"82149 Luna Hill Apt. 644, South Amymouth, SD 17068",-705201097,katie_medina@example.com
VD-21670,Valerie Dominguez,"670 Monique Crossing, East Justin, WY 75569",-836882147,andrew_jones@example.com
PB-19210,Phillip Breyer,"122 Jessica Mount Suite 884, Lake Cheyennefurt, AS 43458",-870433028,richard_lawrence@example.com
EB-14110,Eugene Barchas,"28797 Hill Landing, East Scottfort, MH 10721",-106162270,joshua_miller@example.com
KF-16285,Karen Ferguson,"6309 Chang Summit, Morganburgh, AZ 22438",-449851991,nicole_dudley@example.com
BP-11230,Benjamin Patterson,"401 Baker Square Suite 596, Willisbury, RI 66304",-689042934,bruce_mitchell@example.com
RR-19525,Rick Reed,"74946 Christine Harbors, Leemouth, TX 62891",-751822516,elizabeth_nicholson@example.com
BS-11365,Bill Shonely,"224 Christopher Tunnel, Phillipsshire, VI 68586",-272450067,brenda_simon@example.com
JE-15745,Joel Eaton,"096 Nancy Forge Suite 303, South Matthewfort, MS 69971",-651173053,amanda_williams@example.com
DP-13105,Dave Poirier,"032 Gray Key, Kellihaven, IA 87057",-166163561,aaron_howard@example.com
